url_length,hostname_length,path_length,num_subdomains,num_dots,num_special_chars,num_digits,num_uppercase_chars,has_at_symbol,has_double_slash_redirect,has_dash_in_domain,is_ip_address,ip_category,has_encoded_chars,has_non_ascii_chars,url_entropy,hostname_entropy,digit_to_letter_ratio,domain_quality,tld_length,subdomain_entropy,subdomain_length,has_login_keyword,has_suspicious_words,has_brand_mismatch,file_type,is_file_download,is_script_file,is_shortened,num_fragments,num_query_params,num_directories,port,is_risky_port,protocol_mismatch,is_unknown_port,contains_hex_encoding,starts_with_https_but_contains_http,missing_hostname_flag,url,label,pattern
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.341079077026475,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.html,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.413085367888027,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/background.js,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.325682005375132,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/content.js,0,chrome_extension
64,32,13,0,0,3,0,0,False,0,False,0,none,False,False,4.293744383186907,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/options.html,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.358445075821976,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/devtools.html,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.31938588399508,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/panel.html,0,chrome_extension
64,32,13,0,0,3,0,0,False,0,False,0,none,False,False,4.362997562960808,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/sidebar.html,0,chrome_extension
63,32,12,0,0,3,0,0,False,0,False,0,none,False,False,4.376200218093278,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/newtab.html,0,chrome_extension
60,32,9,0,0,3,0,0,False,0,False,0,none,False,False,4.363501280039722,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.js,0,chrome_extension
61,32,10,0,0,3,0,0,False,0,False,0,none,False,False,4.33470051073844,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/inject.js,0,chrome_extension
69,32,18,0,0,3,0,0,False,0,False,0,none,False,False,4.385799508363413,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/content_script.js,0,chrome_extension
72,32,21,0,0,3,0,0,False,0,False,0,none,False,False,4.4752962727153,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,script,0,1,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/background_script.js,0,chrome_extension
61,32,10,0,0,3,0,0,False,0,False,0,none,False,False,4.355112191030842,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.css,0,chrome_extension
62,32,11,0,0,3,0,0,False,0,False,0,none,False,False,4.376411796144916,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/styles.css,0,chrome_extension
65,32,14,0,0,3,0,0,False,0,False,0,none,False,False,4.329855990438534,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/manifest.json,0,chrome_extension
60,32,9,0,0,3,0,0,False,0,False,0,none,False,False,4.259090238264882,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/icon.png,0,chrome_extension
67,32,16,0,0,4,0,0,False,0,False,0,none,False,False,4.3010915279423845,3.765319531114783,0.0,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,2,-1,0,0,0,0,0,0,chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/assets/logo.png,0,chrome_extension
