url,label,category,source
https://shortwa.cc/FzCPcRly/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://lnkwp.cc/HYzwHybB/?regali-di-natale-amazon-2025.html,1,Brand Impersonation,openphish
https://walinkr.cc/FiWaWXqd/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://waurl.cc/FnCnAlCO/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://go2wa.cc/HJNSeQlv/?regali-di-natale-amazon-2025.html,1,Brand Impersonation,openphish
https://waurl.cc/FIdGuACV/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://msgwa.cc/FxvQmOpL/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
http://facebook.logininfo.in/,1,Brand Impersonation,openphish
https://wplink.cc/FLakiLfY/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://esdgte2.pages.dev/gp/most-wished-for/amazon-devices/ref=zg_mw_nav_amazon-devices_0/,1,Brand Impersonation,openphish
https://8ujoo-4.pages.dev/amazon-fashion/b/?ie=UTF8&node=7141123011&ref_=nav_cs_fashion/,1,Brand Impersonation,openphish
https://wpclick.cc/FTDCgwwP/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://wplink.cc/HCIaJHgl/?regali-di-natale-amazon-2025.html,1,Brand Impersonation,openphish
https://clickwa.cc/KWhqFhMb/?weihnachtsgeschenke-amazon-2025.html,1,Brand Impersonation,openphish
https://walinkr.cc/FXmEmsYO/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://shortwa.cc/FpUwhVNz/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://instagram-feedj79t.rollout.site/,1,Brand Impersonation,openphish
https://wpclick.cc/FkBcrAYN/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://homeloans.wellsfargo.com.pagescdn.com/mortgage/al/,1,Brand Impersonation,openphish
https://wpclick.cc/FYeNFYTe/?regalos-de-navidad-amazon-2025.html,1,Brand Impersonation,openphish
https://krrish-dangi.github.io/NetFlix-Clone-Using-HTML-CSS-only/,1,Brand Impersonation,openphish
https://abbas99917.github.io/Netflix-landing-page/,1,Brand Impersonation,openphish
http://www.easybank-project-manan.vercel.app/,1,Financial/Banking,openphish
https://ipfs.io/ipfs/bafybeibscpr6fccaljtamoq5ivu4ahrv4wgm5jxvdb2mjhafbfbltudzne/Secure-php-Manual.html/,1,Financial/Banking,openphish
http://pub-ba357d95075c4d879b3d01b38b24ecc6.r2.dev/owa-webapp-outlook-update.html,1,Financial/Banking,openphish
http://pub-16499d352cc14fe4b8cdf064bb205547.r2.dev/4outmanagementsecure.html,1,Financial/Banking,openphish
https://2025rkt-sa.vip/login/,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(wcjpd1didyxewcf1v5saytxe))/Main/Login/,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(bn0zbewri5aujuqurlbbipvu))/Main/Login/,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(1my3ena2s4x5jqeumdm05mzr))/Main/Login/,1,Credential Harvesting,openphish
https://serverdatauth.net/,1,Credential Harvesting,openphish
http://rbfcu-star.azurewebsites.net/(S(rqnqf4zuffcgyt44bu1kmlk0))/Main/Login,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(rqnqf4zuffcgyt44bu1kmlk0))/Main/Login/,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(kwntkfqtlecd3l1kjcjibs4s))/Main/Login/,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(cwisnnpvdkqbmq3tcs2txy3j))/Main/Login/,1,Credential Harvesting,openphish
http://rbfcu-star.azurewebsites.net/(S(fm3zgv5e2qmsgqasntm1oguv))/Main/Login,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(r5tinvtj3kdrtsap0r4vepdp))/Main/Login/,1,Credential Harvesting,openphish
http://rbfcu-star.azurewebsites.net/(S(np33zauj4bm41xw1c3mbslel))/Main/Login,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(03xi4cgyur1ub4gavcbuvzwl))/Main/Login/,1,Credential Harvesting,openphish
https://rbfcu-star.azurewebsites.net/(S(40kvtckv3gz1scc2a3lgovms))/Main/Login/,1,Credential Harvesting,openphish
https://8ujoo-4.pages.dev/computer-pc-hardware-accessories-add-ons/b/?ie=UTF8&node=541966&ref_=nav_cs_pc/,1,Credential Harvesting,openphish
