url,label,pattern,source
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.html,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/background.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/content.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/options.html,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/devtools.html,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/panel.html,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/sidebar.html,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/newtab.html,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/inject.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/content_script.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/background_script.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/popup.css,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/styles.css,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/manifest.json,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/icon.png,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/assets/logo.png,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/js/app.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/lib/jquery.js,legitimate,chrome_extension,popular_extensions
chrome-extension://gighmmpiobklfepjocnamgkkbiglidom/dist/bundle.js,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/popup.html,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/background.js,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/content.js,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/options.html,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/devtools.html,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/panel.html,legitimate,chrome_extension,popular_extensions
chrome-extension://cjpalhdlnbpafiamejdnhcphjbkeiagm/sidebar.html,legitimate,chrome_extension,popular_extensions
