url,label,source,url_length,hostname_length,path_length,num_subdomains,num_dots,num_special_chars,num_digits,num_uppercase_chars,has_at_symbol,has_double_slash_redirect,has_dash_in_domain,is_ip_address,ip_category,has_encoded_chars,has_non_ascii_chars,url_entropy,hostname_entropy,digit_to_letter_ratio,domain_quality,tld_length,subdomain_entropy,subdomain_length,has_login_keyword,has_suspicious_words,has_brand_mismatch,file_type,is_file_download,is_script_file,is_shortened,num_fragments,num_query_params,num_directories,port,is_risky_port,protocol_mismatch,is_unknown_port,contains_hex_encoding,starts_with_https_but_contains_http,missing_hostname_flag,domain,has_A,num_A,has_AAAA,num_AAAA,has_MX,num_MX,has_NS,num_NS,has_TXT,num_TXT,has_CNAME,cname_chain_length,has_SOA,ttl_min,ttl_max,ttl_mean,ttl_var,mx_priority_min,mx_priority_max,num_distinct_ips,txt_entropy,has_SPF,has_DKIM,has_DMARC,has_wildcard_dns,dnssec_enabled,asn_list,asn_org_list,asn_country_list,cidr_list,error_type
https://google.com,legitimate,known_good,18,10,0,0,1,2,0,0,False,0,False,0,none,False,False,3.5724312513221195,2.646439344671016,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,0,-1,0,0,0,0,0,0,google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,300,300,300.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24']",-1.0
http://172.86.89.172/i686.SNOOPY,phishing,urlhaus,32,13,12,0,3,3,13,6,False,0,False,1,public,False,False,3.991729296672175,2.7192945256669794,1.1818180743801752,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,172.86.89.172,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,1,0.0,0,0,0,0,0,['14956'],"['ROUTERHOSTING, US']",['US'],['172.86.88.0/22'],-1.0
https://www.google.com,legitimate,known_good,22,14,0,0,2,2,0,0,False,0,False,0,none,False,False,3.663532754804255,2.8423709931771084,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,0,-1,0,0,0,0,0,0,www.google.com,1,6,1,4,0,0,0,0,0,0,0,0,0,300,300,300.0,0.0,-1,-1,10,0.0,0,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['2607:f8b0:4001::/48', '74.125.126.0/24', '2607:f8b0:4001::/48', '74.125.126.0/24', '74.125.126.0/24', '74.125.126.0/24', '74.125.126.0/24', '74.125.126.0/24', '2607:f8b0:4001::/48', '2607:f8b0:4001::/48']",-1.0
https://frost.windshift.ru/v34f9r7e,phishing,urlhaus,35,18,9,1,2,3,4,0,False,0,False,0,none,False,False,4.185867302411999,3.5032583347756456,0.1599999936000002,normal,2,2.321928094887362,5,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,frost.windshift.ru,1,2,0,0,0,0,0,0,0,0,0,0,0,300,300,300.0,0.0,-1,-1,2,0.0,0,0,0,1,0,"['13335', '13335']","['CLOUDFLARENET, US', 'CLOUDFLARENET, US']","['US', 'US']","['172.67.176.0/20', '104.21.16.0/20']",-1.0
https://google.com/about,legitimate,known_good,24,10,6,0,1,3,0,0,False,0,False,0,none,False,False,3.7720552088742,2.646439344671016,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,283,283,283.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24']",-1.0
http://213.209.143.64/bins/grandstream.sh,phishing,urlhaus,41,14,20,0,3,4,11,0,False,0,False,1,public,False,False,4.345118467927183,2.896291529045928,0.5238094988662143,no_tld,0,0.0,0,0,0,0,download,1,0,0,0,0,2,-1,0,0,0,0,0,0,213.209.143.64,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,1,0.0,0,0,0,0,0,['42821'],"['RAPIDNET-DE Haunstetter Str. 19, DE']",['DE'],['213.209.143.0/24'],-1.0
https://google.com/contact,legitimate,known_good,26,10,8,0,1,3,0,0,False,0,False,0,none,False,False,3.6423714487439023,2.646439344671016,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,274,274,274.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24']",-1.0
http://110.37.47.129:57021/i,phishing,urlhaus,28,13,2,0,3,3,15,0,False,0,False,1,public,False,False,3.726474118254376,2.815072410115944,2.99999940000012,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,57021,0,0,1,0,0,0,110.37.47.129,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,1,0.0,0,0,0,0,0,['38264'],"['WATEEN-IMS-PK-AS-AP National WiMAXIMS environment, PK']",['PK'],['110.37.40.0/21'],-1.0
http://61.53.157.202:51125/i,phishing,urlhaus,28,13,2,0,3,3,15,0,False,0,False,1,public,False,False,3.5836169753972325,2.873140679513133,2.99999940000012,no_tld,0,0.0,0,0,0,0,none,0,0,0,0,0,1,51125,0,0,1,0,0,0,61.53.157.202,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1.0,-1.0,-1,-1,1,0.0,0,0,0,0,0,['4837'],"['CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN']",['CN'],['61.52.0.0/15'],-1.0
https://google.com/products,legitimate,known_good,27,10,9,0,1,3,0,0,False,0,False,0,none,False,False,3.81008102052173,2.646439344671016,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0,google.com,1,6,1,4,1,1,1,4,1,12,0,0,1,265,265,265.0,0.0,10,10,10,4.5685196704959425,1,0,0,0,0,"['15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169', '15169']","['GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US', 'GOOGLE, US']","['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US']","['2607:f8b0:4001::/48', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24', '74.125.202.0/24', '74.125.202.0/24', '2607:f8b0:4001::/48', '74.125.202.0/24']",-1.0
