url,label,source,url_length,hostname_length,path_length,num_subdomains,num_dots,num_special_chars,num_digits,num_uppercase_chars,has_at_symbol,has_double_slash_redirect,has_dash_in_domain,is_ip_address,ip_category,has_encoded_chars,has_non_ascii_chars,url_entropy,hostname_entropy,digit_to_letter_ratio,domain_quality,tld_length,subdomain_entropy,subdomain_length,has_login_keyword,has_suspicious_words,has_brand_mismatch,file_type,is_file_download,is_script_file,is_shortened,num_fragments,num_query_params,num_directories,port,is_risky_port,protocol_mismatch,is_unknown_port,contains_hex_encoding,starts_with_https_but_contains_http,missing_hostname_flag
https://google.com,legitimate,known_good,18,10,0,0,1,2,0,0,False,0,False,0,none,False,False,3.5724312513221195,2.6464393446710157,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,0,-1,0,0,0,0,0,0
https://onlineatt783.pory.app/,phishing,phishtank,30,21,1,1,2,3,3,0,False,0,False,0,none,False,False,3.948394345536403,3.6897037321995474,0.14285713605442207,normal,3,3.2516291673878226,12,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
https://www.google.com,legitimate,known_good,22,14,0,0,2,2,0,0,False,0,False,0,none,False,False,3.6635327548042547,2.8423709931771084,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,0,-1,0,0,0,0,0,0
http://ida.boatdealers.su/mips,phishing,urlhaus,30,18,5,1,2,3,0,0,False,0,False,0,none,False,False,3.939572261986723,3.4613201402110083,0.0,normal,2,1.584962500721156,3,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
https://google.com/about,legitimate,known_good,24,10,6,0,1,3,0,0,False,0,False,0,none,False,False,3.7720552088742,2.6464393446710157,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
https://qrco.de/bfJ0A4?Yro=vtyClnjSjA?osu=DuRFv2zddh,phishing,phishtank,52,7,7,0,1,7,3,9,False,0,False,0,none,False,False,4.988525294897748,2.8073549220576037,0.07499999812500005,normal,2,0.0,0,0,0,0,none,0,0,0,0,1,1,-1,0,0,0,0,0,0
https://google.com/contact,legitimate,known_good,26,10,8,0,1,3,0,0,False,0,False,0,none,False,False,3.6423714487439023,2.6464393446710157,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
http://falkomer.ru/a-r.m-7.Sakura,phishing,urlhaus,33,11,15,0,1,3,1,1,False,0,False,0,none,False,False,3.9683403313485464,3.2776134368191157,0.04347825897920613,normal,2,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
https://linkpop.com/mail-update,phishing,phishtank,31,11,12,0,1,3,0,0,False,0,False,0,none,False,False,4.0667842134731025,3.095795255000934,0.0,normal,3,0.0,0,0,1,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
https://google.com/products,legitimate,known_good,27,10,9,0,1,3,0,0,False,0,False,0,none,False,False,3.81008102052173,2.6464393446710157,0.0,normal,3,0.0,0,0,0,0,none,0,0,0,0,0,1,-1,0,0,0,0,0,0
