url,label,source
https://www.google.com,legitimate,known_good
https://instagram.com/contact,legitimate,known_good
https://youtube.com/about,legitimate,known_good
https://qexorilav.com/jp,phishing,phishtank
https://ameli-renouvlement.fr/index.php,phishing,phishtank
https://meinpaypal.lnc.gmbh/,phishing,phishtank
http://221.14.36.150:33704/i,phishing,urlhaus
https://www.wikipedia.org,legitimate,known_good
http://36.70.229.43:44304/bin.sh,phishing,urlhaus
http://209.200.246.33/flood.mpsl,phishing,urlhaus
https://ujjwalnepal11.github.io/e-commerce,phishing,openphish
https://wav.nufritrio.biz.id/smQ!Yw1LqFKyxh/,phishing,phishtank
https://wikipedia.org/pricing,legitimate,known_good
https://allegrolokalnie.pl-oferta6131652.sbs/,phishing,phishtank
https://youtube.com/contact,legitimate,known_good
http://115.49.77.56:43886/i,phishing,urlhaus
https://instagram.com/about,legitimate,known_good
https://amazon.com/pricing,legitimate,known_good
http://110.37.88.91:43478/i,phishing,urlhaus
https://store.steamcommunlty.cc/advance/design/appdata/glock18/,phishing,openphish
https://instagram.com/pricing,legitimate,known_good
https://amazon.com/about,legitimate,known_good
http://94.156.152.67/bins/pi586,phishing,urlhaus
http://123.12.234.5:37257/bin.sh,phishing,urlhaus
https://www.facebook.com,legitimate,known_good
http://110.37.88.91:43478/bin.sh,phishing,urlhaus
https://linkedseek.com/wowoq8c3,phishing,phishtank
https://instagram.com,legitimate,known_good
https://hmahmd.github.io/streaming-hub-recreation/,phishing,openphish
https://amazon.com/contact,legitimate,known_good
https://rainbowlixa.com/jp,phishing,phishtank
http://110.37.67.68:42420/bin.sh,phishing,urlhaus
https://google.com/about,legitimate,known_good
https://deepika190207.github.io/AmazonCloneProject/,phishing,openphish
https://linkedin.com,legitimate,known_good
http://42.232.75.218:38102/i,phishing,urlhaus
https://twitter.com/pricing,legitimate,known_good
https://google.com/pricing,legitimate,known_good
https://www.supermario-game.com/de/,phishing,openphish
http://42.178.56.55:47421/bin.sh,phishing,urlhaus
http://182.119.62.65:45424/i,phishing,urlhaus
http://94.156.152.67/bins/nmips,phishing,urlhaus
https://hilgudey.github.io/Netflix_Colen-/,phishing,openphish
https://youtube.com,legitimate,known_good
http://45.156.87.180/bins/m68k,phishing,urlhaus
http://att.jgdsi.cc/pay/,phishing,openphish
https://youtube.com/products,legitimate,known_good
https://accoun.wfsbs.cn/accoun,phishing,phishtank
https://twitter.com/about,legitimate,known_good
https://accoun.tbhgp.cn/accoun,phishing,phishtank
https://surl.li/qkugiv,phishing,openphish
https://benjaminkeysmusic.com/sGvb7RrKmM,phishing,phishtank
http://209.200.246.33/flood.x86,phishing,urlhaus
https://accoun.xgdcs.cn/accoun,phishing,phishtank
https://mycardvpass-co-jp.com/login,phishing,phishtank
https://wikipedia.org/services,legitimate,known_good
https://84408.xyz/,phishing,openphish
https://google.com/contact,legitimate,known_good
https://whottdev.com/lT3rP1ODXS,phishing,phishtank
https://twitter.com/services,legitimate,known_good
https://amazon.com/services,legitimate,known_good
https://twitter.com/contact,legitimate,known_good
https://facebook.com/contact,legitimate,known_good
https://rainbowfira.com/jp/,phishing,phishtank
https://youtube.com/pricing,legitimate,known_good
https://instagram.com/products,legitimate,known_good
http://45.93.20.55/zx.exe,phishing,urlhaus
https://instagram.com/services,legitimate,known_good
https://google.com/products,legitimate,known_good
https://facebook.com,legitimate,known_good
https://google.com/services,legitimate,known_good
https://ameli-renouvlement.fr/,phishing,phishtank
https://wikipedia.org/products,legitimate,known_good
https://tarjeta-activar.cloudaccess.host/pasos/segundo-paso.php,phishing,openphish
https://wikipedia.org,legitimate,known_good
https://amazon.com/products,legitimate,known_good
https://google.com,legitimate,known_good
https://accoun.xbsqy.cn/accoun,phishing,phishtank
https://facebook.com/pricing,legitimate,known_good
https://facebook.com/services,legitimate,known_good
https://www.youtube.com,legitimate,known_good
https://amazon.com,legitimate,known_good
http://olx.pl-oferta2725972.club/,phishing,phishtank
http://91.92.241.10:235/xd.sh,phishing,urlhaus
http://68.183.109.173/.u/3sh,phishing,urlhaus
https://wikipedia.org/about,legitimate,known_good
https://bafkreiczhpaoxt5ob7wzoek56opgywubk4wsdjtmneb5kc7kmexe743724.ipfs.dweb.link/,phishing,openphish
https://roblox.com.kz/users/1446429261/profile,phishing,openphish
http://123.13.104.96:49469/i,phishing,urlhaus
https://twitter.com,legitimate,known_good
https://www.amazon.com,legitimate,known_good
https://wikipedia.org/contact,legitimate,known_good
https://www.instagram.com,legitimate,known_good
https://www.twitter.com,legitimate,known_good
https://free-5547865.webadorsite.com/,phishing,phishtank
https://youtube.com/services,legitimate,known_good
https://facebook.com/about,legitimate,known_good
https://murali-6231.github.io/netflix-clone/,phishing,openphish
https://facebook.com/products,legitimate,known_good
https://twitter.com/products,legitimate,known_good
